epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.202,3.14932,1.84583,1.32515,0.23919,0.11505,0.11634,0.03881,3.021,1.75699,1.29719,0.000666077,0.000666077,0.000666077
2,393.554,3.06264,1.80182,1.24957,0.261,0.12613,0.12812,0.04101,2.95152,1.73394,1.24883,0.00130636,0.00130636,0.00130636
3,911.606,3.05606,1.77563,1.23082,0.28274,0.13253,0.14163,0.04476,2.92988,1.64169,1.26211,0.00192023,0.00192023,0.00192023
4,270.529,3.00843,1.7271,1.24019,0.2957,0.13841,0.14233,0.04481,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,542.925,2.95033,1.68737,1.21565,0.30185,0.13907,0.15009,0.04802,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,1149.68,2.96037,1.68086,1.20038,0.29575,0.14532,0.15152,0.04912,nan,nan,nan,0.001802,0.001802,0.001802
7,194.497,2.927,1.65513,1.2041,0.30339,0.1401,0.15355,0.04933,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,385.041,2.87134,1.60785,1.19065,0.31888,0.14721,0.16221,0.05129,2.86158,nan,1.2315,0.0017228,0.0017228,0.0017228
9,749.426,2.89222,1.61271,1.17933,0.29585,0.14582,0.15244,0.04789,2.86176,nan,1.21181,0.0016832,0.0016832,0.0016832
10,937.042,2.87392,1.60859,1.17173,0.3395,0.14813,0.16659,0.05361,2.82542,nan,1.21522,0.0016436,0.0016436,0.0016436
11,1552.28,2.89452,1.60579,1.17992,0.30479,0.15049,0.15627,0.04958,nan,nan,nan,0.001604,0.001604,0.001604
12,1735.01,2.86812,1.59113,1.16534,0.30892,0.14975,0.15834,0.05229,nan,nan,nan,0.0015644,0.0015644,0.0015644
13,1929.09,2.84753,1.58975,1.1738,0.32291,0.15188,0.16698,0.05512,2.78582,nan,1.21079,0.0015248,0.0015248,0.0015248
14,2122.38,2.86674,1.58582,1.16284,0.30719,0.14877,0.16102,0.05286,nan,nan,nan,0.0014852,0.0014852,0.0014852
15,2308.89,2.83566,1.57555,1.16844,0.31533,0.15005,0.15848,0.05093,2.80134,nan,1.20475,0.0014456,0.0014456,0.0014456
16,197.136,2.79627,1.5508,1.16126,0.35899,0.15769,0.17893,0.05889,2.75835,nan,1.20511,0.001406,0.001406,0.001406
17,396.674,2.80398,1.52914,1.16515,0.34929,0.15489,0.16533,0.05339,2.75831,nan,1.20326,0.0013664,0.0013664,0.0013664
18,199.507,2.72871,1.49893,1.14669,0.3699,0.15946,0.18352,0.05964,2.76105,nan,1.21231,0.0013268,0.0013268,0.0013268
19,405.227,2.71722,1.48192,1.14633,0.3641,0.1547,0.1707,0.05512,2.77091,nan,1.21938,0.0012872,0.0012872,0.0012872
20,921.241,2.79133,1.52402,1.15192,0.34314,0.15525,0.17521,0.0572,2.78848,nan,1.2013,0.0012476,0.0012476,0.0012476
21,1109.23,2.75711,1.51431,1.1408,0.34686,0.15407,0.17267,0.05638,2.76297,nan,1.18873,0.001208,0.001208,0.001208
22,194.22,2.7046,1.47379,1.14152,0.3719,0.16136,0.1868,0.06101,2.75594,nan,1.20366,0.0011684,0.0011684,0.0011684
23,391.162,2.68373,1.45325,1.14002,0.36772,0.16006,0.18187,0.05888,2.77133,nan,1.21477,0.0011288,0.0011288,0.0011288
24,754.663,2.75332,1.4913,1.14482,0.34256,0.15462,0.17546,0.05817,nan,nan,nan,0.0010892,0.0010892,0.0010892
25,943.545,2.70441,1.47312,1.1336,0.3779,0.15901,0.18482,0.06066,nan,nan,nan,0.0010496,0.0010496,0.0010496
26,1546.73,2.76098,1.49859,1.14808,0.3583,0.15983,0.17996,0.05775,2.76231,nan,1.19596,0.00101,0.00101,0.00101
27,1737.51,2.74927,1.49149,1.13901,0.36803,0.16142,0.18809,0.06326,2.74651,nan,1.19989,0.0009704,0.0009704,0.0009704
28,1933.8,2.74055,1.50423,1.14578,0.34339,0.15481,0.17395,0.05776,2.75787,nan,1.19582,0.0009308,0.0009308,0.0009308
29,2127.86,2.74843,1.48941,1.13876,0.35271,0.15896,0.1777,0.0585,2.74706,nan,1.19451,0.0008912,0.0008912,0.0008912
30,2316.01,2.72762,1.4807,1.14183,0.36172,0.16128,0.17957,0.0582,2.74853,nan,1.19117,0.0008516,0.0008516,0.0008516
31,2594.55,2.73997,1.49015,1.14013,0.36037,0.1603,0.18264,0.05949,nan,nan,nan,0.000812,0.000812,0.000812
32,2879.82,2.71497,1.48242,1.14333,0.36976,0.16017,0.18211,0.06095,nan,nan,nan,0.0007724,0.0007724,0.0007724
33,3064.67,2.7071,1.46955,1.14284,0.3654,0.16297,0.18588,0.06205,2.74547,nan,1.19032,0.0007328,0.0007328,0.0007328
34,190.459,2.64159,1.43369,1.12616,0.37056,0.1612,0.18639,0.06186,2.75792,nan,1.20839,0.0006932,0.0006932,0.0006932
35,380.853,2.62817,1.40555,1.12661,0.40049,0.16498,0.19711,0.06533,2.73907,nan,1.20693,0.0006536,0.0006536,0.0006536
36,749.194,2.66725,1.42182,1.12494,0.38554,0.16281,0.19038,0.06187,2.74102,nan,1.19739,0.000614,0.000614,0.000614
37,932.306,2.63982,1.4135,1.12029,0.38736,0.16209,0.18933,0.06164,2.75601,nan,1.20361,0.0005744,0.0005744,0.0005744
38,1536.03,2.66067,1.42384,1.12754,0.38187,0.16058,0.18893,0.06188,2.74679,nan,1.20025,0.0005348,0.0005348,0.0005348
39,1718.01,2.66075,1.41844,1.12125,0.39133,0.16448,0.19433,0.06494,2.71677,nan,1.19619,0.0004952,0.0004952,0.0004952
40,1913.43,2.65816,1.42817,1.13119,0.3884,0.1634,0.19146,0.06271,2.73821,nan,1.19996,0.0004556,0.0004556,0.0004556
41,2240.88,2.70424,1.50315,1.1664,0.36288,0.16149,0.18528,0.06226,2.74307,nan,1.19053,0.000416,0.000416,0.000416
42,2414,2.69198,1.48713,1.14925,0.38328,0.16352,0.1924,0.0631,2.72262,nan,1.1946,0.0003764,0.0003764,0.0003764
43,2676.84,2.68723,1.47468,1.15305,0.37765,0.16497,0.19136,0.06304,2.71829,nan,1.18937,0.0003368,0.0003368,0.0003368
44,2854.72,2.67056,1.48237,1.15481,0.37153,0.15923,0.1859,0.06165,2.73565,nan,1.1968,0.0002972,0.0002972,0.0002972
45,3027.9,2.67901,1.46934,1.14337,0.37032,0.16219,0.19091,0.06419,2.72541,nan,1.1934,0.0002576,0.0002576,0.0002576
46,3204.03,2.65654,1.48305,1.14283,0.38175,0.16727,0.19165,0.06342,2.71151,nan,1.18907,0.000218,0.000218,0.000218
47,3497.8,2.6679,1.45298,1.14509,0.38335,0.16517,0.19255,0.06432,2.71887,nan,1.1908,0.0001784,0.0001784,0.0001784
48,3802.07,2.64535,1.44283,1.13678,0.38529,0.16373,0.19244,0.06394,2.72356,nan,1.19085,0.0001388,0.0001388,0.0001388
49,3998.45,2.65773,1.44994,1.13807,0.38819,0.16373,0.19335,0.06371,2.7269,nan,1.19131,9.92e-05,9.92e-05,9.92e-05
50,4173.27,2.63123,1.43606,1.13748,0.3866,0.16469,0.19364,0.06419,2.72406,nan,1.19412,5.96e-05,5.96e-05,5.96e-05
